"LOC","MODEL","VERSION","MAC","IP","CHANNEL","NAME","ASSET.TAG","ASSET.UID","Mx","PART.","MFG","SWITCH.IP","SWITCH.PORT","DESC","LOC.DESC","ERROR"
"H1","","","00:25:90:D4:74:2B","10.110.49.2","","ROUTER",10000000000349,5565,"Y","","","10.110.48.60",21,"Server  Rack Mount 1U  Single Processor  Min 8 GB Ram  Min 2 X 500 GB Hot Swappable HDD  ASA Computers Uni Processor Server or Equivalent","",""
"H1","","","00:03:2D:27:83:C0","10.110.49.182","","UPS",10000000003334,11158,"Y","","EATON","10.110.48.60",22,"Sensor G2131-i Gas Analyzer for Isotopic CO2 240VAC","",""
"H1","","","00:25:90:D4:6F:08","?","","ROUTER",NA,NA,"N","","","10.110.48.60",23,"","","No Maximo Data (0)"
"H1","","","00:03:2D:29:3F:9F","10.110.49.84","","UPS",10000000004220,13776,"Y","","EATON","10.110.48.60",24,"Sensor L2130-i Analyzer for isotopic water vapor 90 to 240VAC 60HZ","",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","A6","PRESTRANS",30000000022152,43754,"Y","CA07160000","","10.110.48.61",4,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Archive CO2 Delivery Line Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","A7","PRESTRANS",30000000022145,43747,"Y","CA07160000","","10.110.48.61",4,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Zero Air Delivery Line Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","A8","PRESTRANS",30000000022151,43755,"Y","CA07160000","","10.110.48.61",4,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Low CO2 Delivery Line Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","A9","PRESTRANS",30000000022153,43753,"Y","CA07160000","","10.110.48.61",4,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Medium CO2 Delivery Line Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","A10","PRESTRANS",30000000022149,43757,"Y","CA07160000","","10.110.48.61",4,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE High CO2 Delivery Line Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:1C:BC","10.110.49.179","DIO","SOLENOID",30000000012530,25679,"Y"," ","NEON","10.110.48.61",4,"Harness Grape Digital Out 5 Solenoid Control","Central Plains ECTE Validation Solenoids",""
"H2","CB06850000","01.01.06","7C:E0:44:00:19:9A","10.110.49.180","A6","PRESTRANS",30000000022150,43756,"Y","CA07160000","","10.110.48.61",6,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Archive CO2 Regulator Out Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:19:9A","10.110.49.180","A7","PRESTRANS",30000000022144,43748,"Y","CA07160000","","10.110.48.61",6,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Zero Air Regulator Out Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:19:9A","10.110.49.180","A8","PRESTRANS",30000000022147,43751,"Y","CA07160000","","10.110.48.61",6,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Low CO2 Regulator Out Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:19:9A","10.110.49.180","A9","PRESTRANS",30000000022148,43750,"Y","CA07160000","","10.110.48.61",6,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE Medium CO2 Regulator Out Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:19:9A","10.110.49.180","A10","PRESTRANS",30000000022146,43752,"Y","CA07160000","","10.110.48.61",6,"Assembly Transducer 0-100 psi and Cable Large","Central Plains ECTE High CO2 Regulator Out Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:0F","10.110.49.197","DIO","SOLENOID",30000000011122,22256,"Y"," ","NEON","10.110.48.61",7,"Harness Grape Digital Out 4 Solenoid Control","Central Plains Auxiliary Valve",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:14","10.110.49.181","A6","PRESTRANS",30000000022155,43762,"Y","CA07170000","","10.110.48.61",8,"Assembly Transducer 0-3000 psi and Cable Large","Central Plains ECTE Archive CO2 Cylinder and Cylinder Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:14","10.110.49.181","A7","PRESTRANS",30000000022156,43761,"Y","CA07170000","","10.110.48.61",8,"Assembly Transducer 0-3000 psi and Cable Large","Central Plains ECTE Zero Air Cylinder Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:14","10.110.49.181","A8","PRESTRANS",30000000022154,43758,"Y","CA07170000","","10.110.48.61",8,"Assembly Transducer 0-3000 psi and Cable Large","Central Plains ECTE Low CO2 Cylinder and Cylinder Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:14","10.110.49.181","A9","PRESTRANS",30000000022157,43759,"Y","CA07170000","","10.110.48.61",8,"Assembly Transducer 0-3000 psi and Cable Large","Central Plains ECTE Medium CO2 Cylinder and Cylinder Pressure",""
"H2","CB06850000","01.01.06","7C:E0:44:00:23:14","10.110.49.181","A10","PRESTRANS",30000000022158,43760,"Y","CA07170000","","10.110.48.61",8,"Assembly Transducer 0-3000 psi and Cable Large","Central Plains ECTE High CO2 Cylinder and Cylinder Pressure",""
"H2","","","00:06:67:22:AC:11","10.110.48.20","","ROUTER",NA,NA,"N","","","10.110.48.61",9,"","","No Maximo Data (0)"
"H2","","","00:0D:5D:0D:68:34","10.110.48.21","","ROUTER",NA,NA,"N","","","10.110.48.61",13,"","","No Maximo Data (0)"
"H2","","","00:E0:D8:17:5E:E5","10.110.48.11","","ROUTER",21000000011417,2501,"Y","","","10.110.48.61",14,"UPS 10kVA Rackmount","",""
"H2","","","00:0D:5D:0D:41:14","10.110.48.22","","ROUTER",NA,NA,"N","","","10.110.48.61",15,"","","No Maximo Data (0)"
"H2","","","00:E0:D8:17:89:C7","10.110.48.10","","ROUTER",21000000011418,2502,"Y","","","10.110.48.61",16,"UPS 10kVA Rackmount","",""
"H2","","","00:25:90:D4:73:87","10.110.50.2","","ROUTER",10000000000348,5563,"Y","","","10.110.48.61",21,"Server  Rack Mount 1U  Single Processor  Min 8 GB Ram  Min 2 X 500 GB Hot Swappable HDD  ASA Computers Uni Processor Server or Equivalent","",""
"H2","","","9C:57:AD:D3:01:F6","?","","ROUTER",NA,NA,"N","","","10.110.48.61",22,"","","No Maximo Data (0)"
"H2","","","00:25:90:D4:6F:5A","?","","ROUTER",NA,NA,"N","","","10.110.48.61",23,"","","No Maximo Data (0)"
"H2","","","FC:99:47:1E:BC:61","10.110.48.1","","ROUTER",NA,NA,"N","","","10.110.48.61",24,"","","No Maximo Data (0)"
"L1","CB14043600","01.01.06","7C:E0:44:00:1C:19","10.110.49.78","A6","PRT4W",30000000001712,6945,"Y","CA00110002","THERMOMETRICS","10.110.48.62",1,"Assembly Sensor PRT Temperature 72,Central Plains Single Aspirated Air Temperature L2,
L1,CB14043600,01.01.06,7C:E0:44:00:1C:19,10.110.49.78,SIO1,DUAL-FAN,30000000019152,35659,Y,CA02470010,NEON,10.110.48.62,1,Assembly Aspirated Shield Fan Honeycomb Stack,Central Plains Single Aspirated Air Temperature L2,
L1,CB14043600,01.01.06,7C:E0:44:00:1C:19,10.110.49.78,T1,WO2,30000000006400,13814,Y,CD00310000,GILL INSTR.,10.110.48.62,1,Assembly 2D Sonic Heated and Junction Box,Central Plains 2D Wind L2,
L1,CB14043600,01.01.06,7C:E0:44:00:1A:06,10.110.49.73,A6,PAR,30000000002722,9110,Y,CA00130000,KIPP & ZONEN,10.110.48.62,2,Assembly Cable PAR Sensor,Central Plains PAR Radiation and IR Biological Temp L2,
L1,CB14043600,01.01.06,7C:E0:44:00:1A:06,10.110.49.73,A7,APOGEETPILE,30000000005081,11967,Y,CA02460000,APOGEE,10.110.48.62,2,Assembly Apogee Splitter,Central Plains PAR Radiation and IR Biological Temp L2,
L1,CB14043600,01.01.06,7C:E0:44:00:1A:06,10.110.49.73,A8,APOGEETHERM,30000000005081,11967,Y,CA02460000,APOGEE,10.110.48.62,2,Assembly Apogee Splitter,Central Plains PAR Radiation and IR Biological Temp L2,
L1,CB06850000,01.01.06,7C:E0:44:00:1D:4A,10.110.49.85,A6,PRESTRANS,30000000010905,22781,Y,CA08830000,,10.110.48.62,3,Assembly pressure transducer 0-30 PSI 4-20MA enclosure,Central Plains ECSE Inlet Pressure L3,
L1,,,00:30:F4:D0:A4:88,10.110.48.40,,ROUTER,30000000005963,12696,Y,,,10.110.48.62,4,Camera  Phenological  with 6.2mm lens,,
L1,CB14043600,01.01.06,7C:E0:44:00:19:F4,10.110.49.185,A6,PRT4W,21000000010073,3106,Y,CA00110002,THERMOMETRICS,10.110.48.62,5,Assembly Sensor PRT Temperature 72","Central Plains Single Aspirated Air Temperature L1",""
"L1","CB14043600","01.01.06","7C:E0:44:00:19:F4","10.110.49.185","SIO1","DUAL-FAN",30000000022159,43855,"Y","CA02470010","NEON","10.110.48.62",5,"Assembly Aspirated Shield Fan Honeycomb Stack","Central Plains Single Aspirated Air Temperature L1",""
"L1","CB14043600","01.01.06","7C:E0:44:00:19:F4","10.110.49.185","T1","WO2",30000000018586,34102,"Y","CD00310000","GILL INSTR.","10.110.48.62",5,"Assembly 2D Sonic Heated and Junction Box","Central Plains 2D Wind L1",""
"L1","CB14043600","01.01.06","7C:E0:44:00:19:FA","10.110.49.184","A6","PAR",30000000005613,12370,"Y","CA00130000","KIPP & ZONEN","10.110.48.62",6,"Assembly Cable PAR Sensor","Central Plains PAR Radiation and IR Biological Temp L1",""
"L1","CB14043600","01.01.06","7C:E0:44:00:19:FA","10.110.49.184","A7","APOGEETPILE",30000000004658,11495,"Y","CF03210000","APOGEE","10.110.48.62",6,"Assembly Apogee Soil Splitter","Central Plains PAR Radiation and IR Biological Temp L1",""
"L1","CB14043600","01.01.06","7C:E0:44:00:19:FA","10.110.49.184","A8","APOGEETHERM",30000000004658,11495,"Y","CF03210000","APOGEE","10.110.48.62",6,"Assembly Apogee Soil Splitter","Central Plains PAR Radiation and IR Biological Temp L1",""
"L1","CB06850000","01.01.06","7C:E0:44:00:1C:E1","10.110.49.87","A6","PRESTRANS",30000000010916,22784,"Y","CA08830000","","10.110.48.62",7,"Assembly pressure transducer 0-30 PSI 4-20MA enclosure","Central Plains ECSE Inlet Pressure L4",""
"L1","CONCORD2","01.01.06","7C:E0:44:00:00:89","10.110.49.25","DIO","RELAYBANK",30000000000013,4046,"N"," ","NEON","10.110.48.62",8,"Assembly Zinfandel G4 Control Out","Engineering Manufacturing - Operations","ERROR (SITE): ENGMFG/CPER"
"L2","CB14043600","01.01.06","7C:E0:44:00:17:65","10.110.49.86","T1","PTB330A",21000000051555,3896,"Y","CA01680000","VAISALA","10.110.48.63",1,"Assembly Barometric Sensor PTB330","Central Plains Barometric Pressure",""
"L2","","","00:30:F4:D0:A4:4B","10.110.48.41","","ROUTER",30000000005267,12486,"Y","","","10.110.48.63",3,"Camera  Phenological  with 6.2mm lens","",""
"L2","CB14043600","01.01.06","7C:E0:44:00:12:10","10.110.49.79","A6","PAR",30000000002423,9065,"Y","CA00130000","KIPP & ZONEN","10.110.48.63",4,"Assembly Cable PAR Sensor","Central Plains PAR Radiation and IR Biological Temp L3",""
"L2","CB14043600","01.01.06","7C:E0:44:00:1B:B0","10.110.49.80","A6","PRT4W",30000000001743,6997,"Y","CA00110002","THERMOMETRICS","10.110.48.63",6,"Assembly Sensor PRT Temperature 72,Central Plains Single Aspirated Air Temperature L3,
L2,CB14043600,01.01.06,7C:E0:44:00:1B:B0,10.110.49.80,SIO1,DUAL-FAN,30000000019156,35663,Y,CA02470010,NEON,10.110.48.63,6,Assembly Aspirated Shield Fan Honeycomb Stack,Central Plains Single Aspirated Air Temperature L3,
L2,CB14043600,01.01.06,7C:E0:44:00:1B:B0,10.110.49.80,T1,WO2,30000000005575,12974,Y,CD00310000,GILL INSTR.,10.110.48.63,6,Assembly 2D Sonic Heated and Junction Box,Central Plains 2D Wind L3,
L2,CB06850000,01.01.06,7C:E0:44:00:18:7F,10.110.49.83,A6,PRESTRANS,30000000010914,22780,Y,CA08830000,,10.110.48.63,7,Assembly pressure transducer 0-30 PSI 4-20MA enclosure,Central Plains ECSE Inlet Pressure L1,
L2,CONCORD2,01.01.06,7C:E0:44:00:00:8B,10.110.49.23,DIO,RELAYBANK,30000000000015,4048,N, ,NEON,10.110.48.63,8,Assembly Zinfandel G4 Control Out,Engineering Manufacturing - Operations,ERROR (SITE): ENGMFG/CPER
L3,CB14023600,01.01.06,7C:E0:44:00:18:51,10.110.49.74,A6,BLANK,1000000000000000000,1000000000000000000,N,9999999999,COMPANY INC.,10.110.48.64,1,,,
L3,CB14023600,01.01.06,7C:E0:44:00:18:51,10.110.49.74,T1,SPN1,30000000008565,7917,Y,CA00180000,DELTA-T,10.110.48.64,1,Assembly SPN1 and cables,Central Plains Sunshine Pyranometer Radiation Southeast,
L3,CB14043600,01.01.06,7C:E0:44:00:1C:1A,10.110.49.77,A6,PAR,30000000002482,9083,Y,CA00130000,KIPP & ZONEN,10.110.48.64,3,Assembly Cable PAR Sensor,Central Plains PAR Radiation Down,
L3,CB14043600,01.01.06,7C:E0:44:00:1C:1A,10.110.49.77,A7,PAR,30000000001843,6621,Y,CA00130000,KIPP & ZONEN,10.110.48.64,3,Assembly Cable PAR Sensor,Central Plains PAR Radiation Up,
L3,CB14043600,01.01.06,7C:E0:44:00:1C:1A,10.110.49.77,A8,PRT4W,30000000001706,6913,Y,CA00110002,THERMOMETRICS,10.110.48.64,3,Assembly Sensor PRT Temperature 72","Central Plains Triple Aspirated Air Temperature L4",""
"L3","CB14043600","01.01.06","7C:E0:44:00:1C:1A","10.110.49.77","A9","PRT4W",30000000000248,5210,"Y","CA00110002","THERMOMETRICS","10.110.48.64",3,"Assembly Sensor PRT Temperature 72,Central Plains Triple Aspirated Air Temperature L4,
L3,CB14043600,01.01.06,7C:E0:44:00:1C:1A,10.110.49.77,A10,PRT4W,30000000001742,6915,Y,CA00110002,THERMOMETRICS,10.110.48.64,3,Assembly Sensor PRT Temperature 72","Central Plains Triple Aspirated Air Temperature L4",""
"L3","CB14043600","01.01.06","7C:E0:44:00:1C:1A","10.110.49.77","SIO1","DUAL-FAN",30000000019163,35670,"Y","CA02470010","NEON","10.110.48.64",3,"Assembly Aspirated Shield Fan Honeycomb Stack","Central Plains Triple Aspirated Air Temperature L4",""
"L3","CB14023600","01.01.06","7C:E0:44:00:10:23","10.110.49.93","A6","CMP22PYRAN",30000000004551,11189,"Y","CA00170000","KIPP & ZONNEN","10.110.48.64",4,"Assembly Pyranometer CMP 22 Ventilator Fan CVF and Cables","Central Plains Sunshine Pyranometer Radiation Southeast",""
"L3","CB14023600","01.01.06","7C:E0:44:00:10:23","10.110.49.93","A7","CMP22TEMP",30000000004551,11189,"Y","CA00170000","KIPP & ZONNEN","10.110.48.64",4,"Assembly Pyranometer CMP 22 Ventilator Fan CVF and Cables","Central Plains Sunshine Pyranometer Radiation Southeast",""
"L3","CB14023600","01.01.06","7C:E0:44:00:10:23","10.110.49.93","SIO1","CVF3",30000000004551,11189,"Y","CVF3","KIPP & ZONNEN","10.110.48.64",4,"Assembly Pyranometer CMP 22 Ventilator Fan CVF and Cables","Central Plains Sunshine Pyranometer Radiation Southeast",""
"L3","CB14043600","01.01.06","7C:E0:44:00:19:DB","10.110.49.76","T1","HMP155",30000000016903,30935,"Y","CA04430000","VAISALA","10.110.48.64",5,"Assembly Sensor HMP155","Central Plains Relative Humidity Tower",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","A6","NR01PYGEODN",30000000004465,10749,"Y","CA02770000","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","A7","NR01PYGEOUP",30000000004465,10749,"Y","CA02770000","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","A8","NR01PYRANDN",30000000004465,10749,"Y","CA02770000","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","A9","NR01PYRANUP",30000000004465,10749,"Y","CA02770000","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","A10","NR01TEMP",30000000004465,10749,"Y","CA02770000","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CB14023600","01.01.06","7C:E0:44:00:16:D9","10.110.49.75","SIO1","NR01-HEATER",30000000004465,10749,"Y","","HUKSEFLUX","10.110.48.64",6,"Assembly NR01 Splitter","Central Plains Net Radiation Southwest",""
"L3","CONCORD2","01.01.06","7C:E0:44:00:10:56","10.110.49.32","S1","CE318N",21000000000010,21000000000010,"N","CD00980000","CIMEL","10.110.48.64",7,"","",""
"L3","CONCORD2","01.01.06","7C:E0:44:00:00:88","10.110.49.33","DIO","RELAYBANK",30000000000012,4045,"N"," ","NEON","10.110.48.64",8,"Assembly Zinfandel G4 Control Out","Engineering Manufacturing - Operations","ERROR (SITE): ENGMFG/CPER"
"L4","CB14043600","01.01.06","7C:E0:44:00:1B:9E","10.110.49.71","A6","PRT4W",30000000005749,35617,"Y","AB03960000","THERMOMETRICS","10.110.48.70",1,"Assembly Cable PRT Submersible 6 Feet NADP","Central Plains Wet Deposition",""
"L4","CB14043600","01.01.06","7C:E0:44:00:1B:9E","10.110.49.71","SIO1","NADP",10000000004266,16470,"Y","","N-CON","10.110.48.70",1,"Sensor Wet Deposition Sampler NEON Custom","Central Plains Wet Deposition",""
"L4","CB14043600","01.01.06","7C:E0:44:00:1B:9E","10.110.49.71","T1","HIVOL",10000000004025,15801,"Y","0334980000","ECOTECH","10.110.48.70",1,"Sensor HiVol 3000 Particulate Mass Analyzer NEON Custom","Central Plains Particulate Mass",""
"L4","","","00:1C:94:04:19:49","10.110.49.92","","UPS",30000000005302,31341,"Y","","EATON","10.110.48.70",2,"Assembly  ECTE Sensor Head and Analyzer","",""
"L4","CB14043600","01.01.06","7C:E0:44:00:13:42","10.110.49.82","T1","MTI300",30000000017360,43908,"N","CD00370100","XSENS","10.110.48.70",3,"Assembly Accelerometer and Cable","Logistics - Warehouse - NEON Construction","ERROR (SITE): LOG-WAR-HQ/CPER"
"L4","CB14023600","01.01.06","7C:E0:44:00:17:23","10.110.49.81","T1","CSAT3",10000000004896,32386,"Y","CD00370010","CAMPBELL SCI.","10.110.48.70",4,"Assembly CSAT and Electronics Box","Central Plains 3D Wind L4",""
"L4","CB06850000","01.01.06","7C:E0:44:00:1D:10","10.110.49.72","A6","PRESTRANS",30000000010915,22777,"Y","CA08830000","","10.110.48.70",5,"Assembly pressure transducer 0-30 PSI 4-20MA enclosure","Central Plains ECSE Inlet Pressure L2",""
"L4","","","00:0D:5D:0D:68:AE","10.110.48.23","","ROUTER",NA,NA,"N","","","10.110.48.70",7,"","","No Maximo Data (0)"
"L4","","","00:0D:5D:0D:41:3D","10.110.48.24","","ROUTER",NA,NA,"N","","","10.110.48.70",8,"","","No Maximo Data (0)"
"L4","CB06850000","01.01.06","7C:E0:44:00:23:19","10.110.49.90","T1","ALICATCONT",30000000011473,14271,"Y","0341500000","ALICAT","10.110.48.70",9,"Controller Mass Flow 5 SLPM ID Eeprom","Central Plains ECTE Validation MFC",""
