"WBAN","COUNTRY","STATE","LOCATION","VECTOR","NAME","LATITUDE","LONGITUDE","ELEVATION","STATUS","COMMISSIONING","CLOSING","OPERATION","PAIRING","NETWORK"
"53150","US","CA","Yosemite Village","12 W","Yosemite National Park",37.75,-119.82,6620,"Commissioned",12/18/07 07:00 PM,,"Operational",,"USCRN"
"53152","US","CA","Santa Barbara","11 W",,,,,,,,,,
"53154","US","AZ","Yuma","27 ENE",,,,,,,,,,
"53155","US","AZ","Williams","35 NNW",,,,,,,,,,
"53156","US","AZ","Phoenix","7 S",,,,,,,,,,
"53159","US","AZ","Cameron","25 SSE",,,,,,,,,,
"53160","US","AZ","Camp Verde","3 N",,,,,,,,,,
"53162","US","AZ","Coolidge","5 W",,,,,,,,,,
"53163","US","NM","Socorro","17 WSW",,,,,,,,,,
"53164","US","AZ","Page","9 WSW",,,,,,,,,,
"53165","US","UT","Delta","4 NE",,,,,,,,,,
"53166","US","UT","St. George","15 NE",,,,,,,,,,
"53167","US","UT","Midway","3 NE",,,,,,,,,,
"53168","US","AZ","Ajo","29 S",,,,,,,,,,
"53169","US","AZ","Kayenta","16 WSW",,,,,,,,,,
"53170","US","AZ","Heber","3 SE",,,,,,,,,,
"53171","US","UT","Milford","42 WNW",,,,,,,,,,
"53172","US","AZ","Lake Havasu City","19 SE",,,,,,,,,,
"53173","US","NM","Nageezi","18 SSW",,,,,,,,,,
"53174","US","UT","Price","3 E",,,,,,,,,,
"53176","US","AZ","Gila Bend","3 ENE",,,,,,,,,,
"53180","US","AZ","Kingman","8 NE",,,,,,,,,,
"53181","US","AZ","Safford","5 NNE",,,,,,,,,,
"53182","US","OK","Goodwell","2 SE",,,,,,,,,,
"53183","US","AZ","Fredonia","7 SSE",,,,,,,,,,
"53184","US","AZ","Meadview","7 N",,,,,,,,,,
"53185","US","UT","Beaver","15 E",,,,,,,,,,
"53877","US","NC","Asheville","8 SSW",,,,,,,,,,
"53878","US","NC","Asheville","13 S",,,,,,,,,,
"53926","US","OK","Stillwater","2 W",,,,,,,,,,
"53927","US","OK","Stillwater","5 WNW",,,,,,,,,,
"53960","US","LA","Lafayette","13 SE",,,,,,,,,,
"53961","US","LA","Monroe","26 N",,,,,,,,,,
"53968","US","TX","Palestine","6 WNW",,,,,,,,,,
"53974","US","KS","Manhattan","6 SSW",,,,,,,,,,
"54794","US","NH","Durham","2 N",,,,,,,,,,
"54795","US","NH","Durham","2 SSW",,,,,,,,,,
"54796","US","RI","Kingston","1 NW",,,,,,,,,,
"54797","US","RI","Kingston","1 W",,,,,,,,,,
"54808","US","IL","Champaign","9 SW",,,,,,,,,,
"54810","US","MI","Chatham","1 SE",,,,,,,,,,
"54811","US","IL","Shabbona","5 NNE",,,,,,,,,,
"54851","US","OH","Coshocton","8 NNE",,,,,,,,,,
"54854","US","MI","Gaylord","9 SSW",,,,,,,,,,
"54856","US","OH","Wooster","3 SSE",,,,,,,,,,
"54902","US","IA","Des Moines","17 E",,,,,,,,,,
"54903","US","WI","Necedah","5 WNW",,,,,,,,,,
"54932","US","MN","Sandstone","6 W",,,,,,,,,,
"54933","US","SD","Aberdeen","35 WNW",,,,,,,,,,
"54937","US","ND","Jamestown","38 WSW",,,,,,,,,,
"56401","US","AK","Glennallen","64 N",,,,,,,,,,
"63826","US","SC","Blackville","3 W",,,,,,,,,,
"63828","US","GA","Newton","8 W",,,,,,,,,,
"63829","US","GA","Newton","11 SW",,,,,,,,,,
"63831","US","MS","Newton","5 ENE",,,,,,,,,,
"63838","US","KY","Versailles","3 NNW",,,,,,,,,,
"63849","US","KY","Bowling Green","21 NNE",,,,,,,,,,
"63850","US","GA","Watkinsville","5 SSE",,,,,,,,,,
"63855","US","TN","Crossville","7 NW",,,,,,,,,,
"63856","US","GA","Brunswick","23 S",,,,,,,,,,
"63857","US","AL","Gadsden","19 N",,,,,,,,,,
"63858","US","AL","Selma","13 WNW",,,,,,,,,,
"63862","US","AL","Valley Head","1 SSW",,,,,,,,,,
"63866","US","AL","Guntersville","2 SW",,,,,,,,,,
"63867","US","AL","Cullman","3 ENE",,,,,,,,,,
"63868","US","AL","Courtland","2 WSW",,,,,,,,,,
"63869","US","AL","Fairhope","3 NE",,,,,,,,,,
"63891","US","AL","Clanton","2 NE",,,,,,,,,,
"63892","US","AL","Gainesville","2 NE",,,,,,,,,,
"63893","US","AL","Greensboro","2 WNW",,,,,,,,,,
"63894","US","AL","Muscle Shoals","2 N",,,,,,,,,,
"63895","US","AL","Russellville","4 SSE",,,,,,,,,,
"63896","US","AL","Scottsboro","2 NE",,,,,,,,,,
"63897","US","AL","Selma","6 SSE",,,,,,,,,,
"63898","US","IN","Bedford","5 WNW",,,,,,,,,,
"63899","US","AL","Brewton","3 NNE",,,,,,,,,,
"64756","US","NY","Millbrook","3 W","53,151.00","US","CA","Fallbrook","5 NE","San Diego State Univs Santa Margarita Ecological Reserve (Old Mine Road)",,"Operational","NA","USCRN"
"64757","CA","ON","Egbert","1 W","Environment Canada CARE site",44.23,-79.78,"807","Experimental",,,"Operational","NA","USCRN"
"64758","US","NY","Ithaca","13 E","Cornell University (Harford Teaching & Research Center)",42.44,-76.24,"1228","Commissioned","2005-03-09 19:00:00.0",,"Operational","NA","USCRN"
"73801","US","AL","Northport","2 S","Oliver Lock & Dam",33.21,-87.59,"150","Experimental",,,"Operational","NA","Alabama-USRCRN"
"73802","US","AL","Highland Home","2 S","Highland Home",31.91,-86.31,"614","Experimental",,,"Operational","NA","Alabama-USRCRN"
"73803","US","AL","Talladega","10 NNE","Talladega Municipal Airport",33.57,-86.05,"525","Experimental",,,"Operational","NA","Alabama-USRCRN"
"92821","US","FL","Titusville","7 E","NASA Kennedy Space Center, SLF Mid-Field Site",28.61,-80.69,"3","Commissioned","2005-06-09 20:00:00.0",,"Operational","NA","USCRN"
"92826","US","FL","Everglades City","5 NE","Big Cypress National Preserve (Ochopee Headquarters Vista Site)",25.89,-81.31,"4","Commissioned","2007-06-10 20:00:00.0",,"Operational","NA","USCRN"
"92827","US","FL","Sebring","23 SSE","Archbold Biological Station",27.15,-81.36,"150","Commissioned","2008-04-01 20:00:00.0",,"Operational","NA","USCRN"
"93243","US","CA","Merced","23 WSW","Kesterson Reservoir (US Bureau of Reclamation)",37.23,-120.88,"78","Commissioned","2004-06-07 20:00:00.0",,"Operational","NA","USCRN"
"93245","US","CA","Bodega","6 WSW","University of California - Davis (Bodega Marine Laboratory)",38.32,-123.07,"63","Commissioned","2008-07-29 20:00:00.0",,"Operational","NA","USCRN"
"94059","US","MT","Wolf Point","34 NE","Fort Peck Indian Res. (Give Out Morgan Site)",48.48,-105.2,"2643","Commissioned","2004-04-22 20:00:00.0",,"Operational",94060,"USCRN"
"94060","US","MT","Wolf Point","29 ENE","Fort Peck Indian Res. (Poplar River Site)",48.3,-105.1,"2085","Commissioned","2004-01-25 19:00:00.0",,"Operational",94059,"USCRN"
"94074","US","CO","Nunn","7 NNE","Ag. Res. Svc. Central Plains Exp. Range (SGS LTER at CSU)",40.8,-104.75,"5390","Commissioned","2004-01-11 19:00:00.0",,"Operational","NA","USCRN"
"94075","US","CO","Boulder","14 W","Mountain Research Station INSTAAR Univ. of CO (Hills Mill)",40.03,-105.54,"9828","Commissioned","2004-01-11 19:00:00.0",,"Operational","NA","USCRN"
"94077","US","NE","Harrison","20 SSE","Agate Fossil Beds National Monument (Visitor Center Site)",42.42,-103.73,"4406","Commissioned","2004-01-11 19:00:00.0",,"Operational","NA","USCRN"
"94078","US","WY","Lander","11 SSE","Nature Conservancy (Red Canyon Ranch)",42.67,-108.66,"5773","Commissioned","2004-08-12 20:00:00.0",,"Operational","NA","USCRN"
"94079","US","NE","Whitman","5 ENE","Gudmundsen Sandhills Laboratory (Site 1)",42.06,-101.44,"3740","Commissioned","2005-03-09 19:00:00.0",,"Operational","NA","USCRN"
"94080","US","ND","Medora","7 E","Theodore Roosevelt National Park (Painted Canyon Site)",46.89,-103.37,"2771","Commissioned","2005-03-09 19:00:00.0",,"Operational","NA","USCRN"
"94081","US","SD","Buffalo","13 ESE","SDSU Antelope Research Station (Calving Pasture Site)",45.51,-103.3,"2883","Commissioned","2005-03-09 19:00:00.0",,"Operational","NA","USCRN"
"94082","US","CO","Dinosaur","2 E","Dinosaur National Monument (Hdq. Maintenance Site)",40.24,-108.96,"6062","Commissioned","2004-09-07 20:00:00.0",,"Operational","NA","USCRN"
